id_encuesta,id_alumno,id_asignatura,fecha_encuesta,satisfaccion_global,satisfaccion_docente,satisfaccion_contenido,satisfaccion_facilidad,comentario
453,164,11,2025-01-09,7,9,8,9,Profesor excelente
454,21,6,2025-07-21,6,5,6,8,Clases dinámicas y entretenidas
455,182,9,2024-07-02,8,9,7,7,Las prácticas ayudan mucho
456,200,12,2024-12-01,9,8,8,10,Muy recomendable
457,43,6,2024-06-17,10,4,5,6,Clases dinámicas y entretenidas
458,191,23,2024-08-18,9,4,5,5,Muy recomendable
459,27,4,2025-06-27,4,7,8,3,Muy buena asignatura
460,198,13,2026-03-19,8,10,4,4,Clases dinámicas y entretenidas
461,159,5,2026-01-19,4,9,7,7,Necesita mejorar la organización
462,64,24,2025-09-05,6,7,9,5,Contenido difícil pero útil
463,135,6,2024-07-27,4,4,9,8,Demasiado contenido en poco tiempo
464,122,15,2025-09-15,10,8,6,10,Contenido difícil pero útil
465,179,18,2024-06-05,5,8,8,10,
466,112,17,2024-12-11,9,9,8,7,Demasiado contenido en poco tiempo
467,124,18,2025-06-13,5,10,4,10,Clases dinámicas y entretenidas
468,94,14,2026-04-23,6,5,6,3,Muy buena asignatura
469,134,25,2026-02-19,10,5,6,7,Las prácticas ayudan mucho
470,137,1,2025-03-07,9,7,10,10,Clases dinámicas y entretenidas
471,3,25,2025-03-27,7,10,6,6,Muy buena asignatura
472,141,12,2024-12-08,5,7,8,9,Muy recomendable
473,64,6,2025-02-20,9,9,9,9,Muy recomendable
474,57,9,2024-11-28,4,7,9,6,
475,196,20,2025-06-07,10,9,9,7,Clases dinámicas y entretenidas
476,167,24,2024-10-20,8,10,6,9,Necesita mejorar la organización
477,18,6,2026-05-23,5,6,4,10,
478,116,9,2024-10-02,9,8,7,6,Demasiado contenido en poco tiempo
479,5,5,2026-02-26,4,8,4,5,Profesor excelente
480,73,9,2025-10-03,5,9,7,3,Necesita mejorar la organización
481,24,5,2024-08-20,4,7,5,8,Muy recomendable
482,80,16,2025-02-24,6,7,9,3,Demasiado contenido en poco tiempo
483,21,25,2025-06-16,5,4,6,9,Profesor excelente
484,140,16,2024-05-25,5,5,10,7,Muy recomendable
485,4,4,2025-12-09,10,9,5,9,Las prácticas ayudan mucho
486,64,24,2024-10-15,4,5,7,4,
487,171,7,2026-03-04,7,7,9,7,Demasiado contenido en poco tiempo
488,41,21,2024-10-01,9,4,9,4,Clases dinámicas y entretenidas
489,124,21,2025-02-25,6,5,6,3,Necesita mejorar la organización
490,29,8,2025-11-13,9,7,6,3,Contenido difícil pero útil
491,71,19,2025-12-15,4,7,10,6,Muy buena asignatura
492,11,19,2026-01-20,10,9,7,5,Demasiado contenido en poco tiempo
493,198,3,2026-03-01,5,5,7,4,
494,87,25,2024-08-11,9,4,4,8,Contenido difícil pero útil
495,180,18,2025-02-09,10,4,5,10,Necesita mejorar la organización
496,82,18,2025-10-09,10,9,10,8,Las prácticas ayudan mucho
497,188,7,2025-04-18,4,9,7,8,Contenido difícil pero útil
498,65,2,2025-09-20,7,9,7,7,
499,179,16,2025-04-23,5,8,5,8,Demasiado contenido en poco tiempo
500,188,15,2025-02-28,6,10,10,5,Profesor excelente
